,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2632,CT1126B/2,JOINT - 2 IN SAE,25.0,,8.0,52.0576,,,,,,-25.0,0.0,-8.0,-52.0576
2634,239511017,EXTERNAL RETAINING RING 17mm,49.0,,48.0,431.882448,EXTERNAL RETAINING RING 17mm,49.0,,47.0,422.884897,0.0,0.0,-1.0,-8.997550999999987
2650,115616110,BOLT,25.0,,25.0,171.5,BOLT,21.0,,17.0,116.62,-4.0,0.0,-8.0,-54.879999999999995
2653,117308020,SETSCREW - M8 X 20MM,24.0,,23.0,0.46,SETSCREW - M8 X 20MM,24.0,,13.0,0.26,0.0,0.0,-10.0,-0.2
2657,118606012,SETSCREW M6 X 12MM,47.0,,47.0,145.23,SETSCREW M6 X 12MM,39.0,,31.0,95.79,-8.0,0.0,-16.0,-49.43999999999998
2668,273410025,DOWEL 10MM DIA X 25MM,36.0,,13.0,131.95,,,,,,-36.0,0.0,-13.0,-131.95
2675,119612045,SETSCREW,77.0,,54.0,356.94,SETSCREW,77.0,,18.0,118.98,0.0,0.0,-36.0,-237.95999999999998
2682,346321024,GASKET - 1 IN NPS CL150,6.0,,1.0,4.8,,,,,,-6.0,0.0,-1.0,-4.8
2698,354240116,O RING SEAL - 11.6MM I/D,92.0,,68.0,88.784336,,,,,,-92.0,0.0,-68.0,-88.784336
2700,354240216,O RING SEAL - 21.6MM I/D,72.0,,24.0,32.4,,,,,,-72.0,0.0,-24.0,-32.4
2701,354240276,O RING SEAL - 27.6MM I/D,8.0,,3.0,4.785,,,,,,-8.0,0.0,-3.0,-4.785
2705,RT13019,CAPTIVE NUT(STAGE 3 & 4),453.0,,453.0,1344.659832,CAPTIVE NUT(STAGE 3 & 4),452.0,,452.0,1321.900216,-1.0,0.0,-1.0,-22.75961600000005
2706,RT13047,BEARING,30.0,,19.0,430.35,BEARING,24.0,,5.0,113.25,-6.0,0.0,-14.0,-317.1
2707,A02-0214,BOLT SIMILAR TO RT34214,6.0,,6.0,120.0,BOLT SIMILAR TO RT34214,5.0,,4.0,80.0,-1.0,0.0,-2.0,-40.0
2715,354300445,O RING SEAL - 44.5MM I/D,18.0,,13.0,16.466671,O RING SEAL - 44.5MM I/D,13.0,,3.0,3.461538,-5.0,0.0,-10.0,-13.005133
2730,151212070,NICKLE PLATD CAPSCREW-M12X70MM,22.0,,8.0,12.8,,,,,,-22.0,0.0,-8.0,-12.8
2735,369112020,V RING SEAL - 20MM I/D,69.0,,55.0,174.063065,V RING SEAL - 20MM I/D,69.0,,53.0,167.733499,0.0,0.0,-2.0,-6.329566
2737,211117008,NUT - M8,91.0,,62.0,9.92,NUT - M8,67.0,,14.0,2.24,-24.0,0.0,-48.0,-7.68
2738,211137008,SLOTTED NUT - M8,348.0,,40.0,120.4,,,,,,-348.0,0.0,-40.0,-120.4
2755,156106010,GRUBSCREW M6 X 10MM,111.0,,65.0,70.33468,GRUBSCREW M6 X 10MM,107.0,,57.0,63.96255,-4.0,0.0,-8.0,-6.372130000000006
2757,157106010,GRUBSCREW - M6 X 10MM,209.0,,173.0,157.347306,GRUBSCREW - M6 X 10MM,204.0,,163.0,151.845747,-5.0,0.0,-10.0,-5.5015590000000145
